Geography,Gender,age,population
Michigan,male,75_to_79_years,127356
Michigan,male,80_to_84_years,79851
Michigan,male,85_years_and_over,73927
Minnesota,male,Under_5_years,181792
Minnesota,male,5_to_9_years,184050
Minnesota,male,10_to_14_years,187292
Minnesota,male,15_to_19_years,181958
Minnesota,male,20_to_24_years,185008
Minnesota,male,25_to_29_years,191213
Minnesota,male,30_to_34_years,195579
Minnesota,male,35_to_39_years,190313
Minnesota,male,40_to_44_years,162075
Minnesota,male,45_to_49_years,173385
Minnesota,male,50_to_54_years,183920
Minnesota,male,55_to_59_years,197141
Minnesota,male,60_to_64_years,173922
Minnesota,male,65_to_69_years,139416
Minnesota,male,70_to_74_years,98049
Minnesota,male,75_to_79_years,65788
Minnesota,male,80_to_84_years,43771
Minnesota,male,85_years_and_over,42174
Mississippi,male,Under_5_years,95170
Mississippi,male,5_to_9_years,100593
Mississippi,male,10_to_14_years,105117
Mississippi,male,15_to_19_years,105109
Mississippi,male,20_to_24_years,106023
Mississippi,male,25_to_29_years,103306
Mississippi,male,30_to_34_years,90865
Mississippi,male,35_to_39_years,91914
Mississippi,male,40_to_44_years,84416
Mississippi,male,45_to_49_years,89596
Mississippi,male,50_to_54_years,91202
Mississippi,male,55_to_59_years,95176
Mississippi,male,60_to_64_years,86947
Mississippi,male,65_to_69_years,72716
Mississippi,male,70_to_74_years,54093
Mississippi,male,75_to_79_years,35443
Mississippi,male,80_to_84_years,21600
Mississippi,male,85_years_and_over,16592
Missouri,male,Under_5_years,191797
Missouri,male,5_to_9_years,195136
Missouri,male,10_to_14_years,199496
Missouri,male,15_to_19_years,201940
Missouri,male,20_to_24_years,212237
Missouri,male,25_to_29_years,212558
Missouri,male,30_to_34_years,199582
Missouri,male,35_to_39_years,193906
Missouri,male,40_to_44_years,172112
Missouri,male,45_to_49_years,185003
Missouri,male,50_to_54_years,195689
Missouri,male,55_to_59_years,210683
Missouri,male,60_to_64_years,187714
Missouri,male,65_to_69_years,154108
Missouri,male,70_to_74_years,116197
Missouri,male,75_to_79_years,78556
Missouri,male,80_to_84_years,50918
Missouri,male,85_years_and_over,44604
Montana,male,Under_5_years,32493
Montana,male,5_to_9_years,32523
Montana,male,10_to_14_years,32979
Montana,male,15_to_19_years,33077
Montana,male,20_to_24_years,38356
Montana,male,25_to_29_years,35845
Montana,male,30_to_34_years,33616
Montana,male,35_to_39_years,33896
Montana,male,40_to_44_years,29103
Montana,male,45_to_49_years,29703
Montana,male,50_to_54_years,31659
Montana,male,55_to_59_years,37145
Montana,male,60_to_64_years,37133
Montana,male,65_to_69_years,33446
Montana,male,70_to_74_years,24153
Montana,male,75_to_79_years,15713
Montana,male,80_to_84_years,9680
Montana,male,85_years_and_over,8436
Nebraska,male,Under_5_years,68397
