index,category,gender,age,year,division,population
61,supermarket_goer_last_4_weeks,Male,25-34,2013,south,157
61,supermarket_goer_last_4_weeks,Male,25-34,2013,south_east,72
61,supermarket_goer_last_4_weeks,Male,25-34,2013,south_west,85
61,supermarket_goer_last_4_weeks,Male,25-34,2013,west_central,77
62,movie_goers,Male,35-44,2014,north_east_central,98
62,supermarket_goer_last_4_weeks,Male,35-44,2013,east_central,71
62,supermarket_goer_last_4_weeks,Male,35-44,2013,pacific,110
62,supermarket_goer_last_4_weeks,Male,35-44,2013,south,196
62,supermarket_goer_last_4_weeks,Male,35-44,2013,south_east,74
62,supermarket_goer_last_4_weeks,Male,35-44,2013,south_west,122
62,supermarket_goer_last_4_weeks,Male,35-44,2013,west_central,83
63,movie_goers,Male,45-54,2014,north_east_central,114
63,supermarket_goer_last_4_weeks,Male,45-54,2013,east_central,64
63,supermarket_goer_last_4_weeks,Male,45-54,2013,pacific,109
63,supermarket_goer_last_4_weeks,Male,45-54,2013,south,169
63,supermarket_goer_last_4_weeks,Male,45-54,2013,south_east,74
63,supermarket_goer_last_4_weeks,Male,45-54,2013,south_west,95
63,supermarket_goer_last_4_weeks,Male,45-54,2013,west_central,86
64,movie_goers,Male,55+,2014,north_east_central,183
64,supermarket_goer_last_4_weeks,Male,55+,2013,east_central,77
64,supermarket_goer_last_4_weeks,Male,55+,2013,pacific,137
64,supermarket_goer_last_4_weeks,Male,55+,2013,south,244
64,supermarket_goer_last_4_weeks,Male,55+,2013,south_east,144
64,supermarket_goer_last_4_weeks,Male,55+,2013,south_west,100
64,supermarket_goer_last_4_weeks,Male,55+,2013,west_central,108
70,supermarket_goer_last_4_weeks,Male,18-24,2014,north_east_central,52
70,tablet_owner,Male,18-24,2013,east_central,3
70,tablet_owner,Male,18-24,2013,pacific,12
70,tablet_owner,Male,18-24,2013,south,19
70,tablet_owner,Male,18-24,2013,south_east,9
70,tablet_owner,Male,18-24,2013,south_west,10
70,tablet_owner,Male,18-24,2013,west_central,16
71,supermarket_goer_last_4_weeks,Male,25-34,2014,north_east_central,70
71,tablet_owner,Male,25-34,2013,east_central,10
71,tablet_owner,Male,25-34,2013,pacific,29
71,tablet_owner,Male,25-34,2013,south,48
71,tablet_owner,Male,25-34,2013,south_east,21
71,tablet_owner,Male,25-34,2013,south_west,27
71,tablet_owner,Male,25-34,2013,west_central,26
72,supermarket_goer_last_4_weeks,Male,35-44,2014,north_east_central,97
72,tablet_owner,Male,35-44,2013,east_central,26
72,tablet_owner,Male,35-44,2013,pacific,48
72,tablet_owner,Male,35-44,2013,south,82
72,tablet_owner,Male,35-44,2013,south_east,32
72,tablet_owner,Male,35-44,2013,south_west,50
72,tablet_owner,Male,35-44,2013,west_central,25
73,supermarket_goer_last_4_weeks,Male,45-54,2014,north_east_central,113
73,tablet_owner,Male,45-54,2013,east_central,21
73,tablet_owner,Male,45-54,2013,pacific,46
73,tablet_owner,Male,45-54,2013,south,64
73,tablet_owner,Male,45-54,2013,south_east,28
73,tablet_owner,Male,45-54,2013,south_west,36
73,tablet_owner,Male,45-54,2013,west_central,28
74,supermarket_goer_last_4_weeks,Male,55+,2014,north_east_central,179
74,tablet_owner,Male,55+,2013,east_central,15
74,tablet_owner,Male,55+,2013,pacific,36
74,tablet_owner,Male,55+,2013,south,61
74,tablet_owner,Male,55+,2013,south_east,41
74,tablet_owner,Male,55+,2013,south_west,20
74,tablet_owner,Male,55+,2013,west_central,28
80,all_live_theater/concerts/dance-attended_last_12_months,Male,18-24,2013,east_central,17
80,all_live_theater/concerts/dance-attended_last_12_months,Male,18-24,2013,pacific,37
80,all_live_theater/concerts/dance-attended_last_12_months,Male,18-24,2013,south,43
80,all_live_theater/concerts/dance-attended_last_12_months,Male,18-24,2013,south_east,15
80,all_live_theater/concerts/dance-attended_last_12_months,Male,18-24,2013,south_west,28
80,all_live_theater/concerts/dance-attended_last_12_months,Male,18-24,2013,west_central,25
80,tablet_owner,Male,18-24,2014,north_east_central,15
81,all_live_theater/concerts/dance-attended_last_12_months,Male,25-34,2013,east_central,21
81,all_live_theater/concerts/dance-attended_last_12_months,Male,25-34,2013,pacific,42
