Cat,Gender,Age,Year,Region,Pop
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,35-44,2014,Central East,38
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,45-54,2014,Central East,46
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,55+,2014,Central East,32
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,28-24,2014,Central East,23
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,25-34,2014,Central East,42
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,35-44,2014,Central East,65
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,45-54,2014,Central East,51
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,55+,2014,Central East,59
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,28-24,2014,Central East,25
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,25-34,2014,Central East,50
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,35-44,2014,Central East,67
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,45-54,2014,Central East,64
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,55+,2014,Central East,46
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,28-24,2014,Central East,48
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,25-34,2014,Central East,88
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,35-44,2014,Central East,97
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,45-54,2014,Central East,84
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,55+,2014,Central East,75
Totals,Male,28-24,2015,Central East,33
Totals,Male,25-34,2015,Central East,53
Totals,Male,35-44,2015,Central East,71
Totals,Male,45-54,2015,Central East,64
Totals,Male,55+,2015,Central East,81
Totals,Female,28-24,2015,Central East,42
Totals,Female,25-34,2015,Central East,84
Totals,Female,35-44,2015,Central East,99
Totals,Female,45-54,2015,Central East,93
Totals,Female,55+,2015,Central East,109
Video_Game,Male,28-24,2015,Central East,24
Video_Game,Male,25-34,2015,Central East,39
Video_Game,Male,35-44,2015,Central East,45
Video_Game,Male,45-54,2015,Central East,25
Video_Game,Male,55+,2015,Central East,20
Video_Game,Female,28-24,2015,Central East,20
Video_Game,Female,25-34,2015,Central East,46
Video_Game,Female,35-44,2015,Central East,45
Video_Game,Female,45-54,2015,Central East,30
Video_Game,Female,55+,2015,Central East,24
Streaming_Video,Male,28-24,2015,Central East,27
Streaming_Video,Male,25-34,2015,Central East,44
Streaming_Video,Male,35-44,2015,Central East,45
Streaming_Video,Male,45-54,2015,Central East,49
Streaming_Video,Male,55+,2015,Central East,54
Streaming_Video,Female,28-24,2015,Central East,31
